gene_name,gene_id,logFC,logCPM,PValue,FDR,raw_read_count_x23908x30,raw_read_count_x23908x31,raw_read_count_x23908x16,rpkm_x23908x30,rpkm_x23908x31,rpkm_x23908x16
Eloc,67923,-1.7901625282193385,5.955207811158554,7.437268115526053e-7,3.300794499057295e-6,812,1144,81,25.78581361961836,28.85250700251505,6.58842394937434
Cdc45,12544,3.2540358368548716,1.0537759604804684,7.442027781086701e-7,3.3021409447015737e-6,5,13,25,0.13528943785807207,0.27936369152500923,1.7326291027138327
NA,638502,2.8343190269134713,1.4800725892267734,7.50329614774745e-7,3.328554722811314e-6,16,13,30,0.3309529377806988,0.21356118935457763,1.5894220034078936
Rac3,170758,-4.569795245861347,2.5217724752942834,7.509394799125385e-7,3.3297128958054813e-6,80,93,1,7.2207913697607005,6.666693351600241,0.2311886550411482
NA,115487151,1.7344474620919554,4.769039520102085,7.510777445607221e-7,3.3297128958054813e-6,254,138,188,0.9894799848545246,0.4269579495964064,1.8758705042743025
Klc2,16594,-1.6890389963685057,6.001253771226285,7.511127820151809e-7,3.3297128958054813e-6,978,1022,89,31.772808048734518,26.369406834155892,7.405910498149528
Dnm2,13430,1.4995837475706113,5.623983991491198,7.564010066401764e-7,3.352379073441393e-6,440,327,312,6.701952415671758,3.9557527329455007,12.17236497838441
Cd163,93671,3.42283849542575,0.8126708603641766,7.580977661463593e-7,3.3591210189157696e-6,6,8,22,0.12950332347940388,0.13713628212735418,1.2162533591295188
Arhgdia,192662,1.4976017138924491,7.025834274384763,7.591230370619894e-7,3.3628851743706974e-6,885,1123,813,40.42753280805634,40.74238462964886,95.12533986818444
Fbxl21,213311,-4.593670523155992,2.543307696990627,7.628772111123192e-7,3.378733722271297e-6,76,100,1,1.3162713495500058,1.3755125485718065,0.04436122643900992
NA,102634634,-8.692076345268687,2.1873493204265824,7.682095901188638e-7,3.4015630844119927e-6,82,53,0,7.708805240596218,3.9571436076082094,0
NA,108167650,1.5723685324760501,7.8736674681982,7.73338183372062e-7,3.4234797460568396e-6,2022,1458,1489,4.0889728986099225,2.341657239510299,7.712576538087056
Trim34a,94094,3.1752669507960243,1.0807366939721086,7.748268944401253e-7,3.4292766530934343e-6,8,11,25,0.252809779038715,0.2760764029770721,2.023557730873317
Il1rapl2,60367,-8.610945226741828,2.114969816300842,7.773078530420348e-7,3.4394614135645817e-6,57,71,0,1.0228899541366563,1.011917547674705,0
Syt12,171180,-2.4168289127942537,3.8537775442722384,7.779986124680412e-7,3.4417219543008164e-6,212,236,12,6.29467034055398,5.5652137976772424,0.9126202141020119
NA,115489036,-3.9328426666525433,2.832084583852918,7.814787279992812e-7,3.4563181929750914e-6,129,88,2,1.2005472136079178,0.6504365335371822,0.04767505884923152
Sptssb,66183,-8.622047190002467,2.124959239398712,7.833248182296439e-7,3.463682400551832e-6,57,72,0,2.530159366482185,2.5382724628061197,0
Mtmr11,194126,1.7547252752915847,3.7775396384409707,7.842636343195137e-7,3.467032374176353e-6,103,99,98,3.563981814322589,2.720609247118651,8.685524279220148
Lhx1os,78365,-8.600397813046117,2.1054021558354794,7.86421802378026e-7,3.47577000344162e-6,60,67,0,9.355784971877446,8.29729449291217,0
Spire1,68166,-1.7045803433187408,7.123898081862608,7.871443025664512e-7,3.4781598016175317e-6,2151,2255,194,17.44977923419103,14.528768148833837,4.031094364354294
