gene_id_ms,gene_name_ms,gene_name_hu,gene_length,mean_rpkm,max_rpkm,sd_rpkm,x38533_subq,x38533_acral,x38534_subq,x38534_acral,x38536_subq,x38536_acral,x38537_subq,x38537_acral,x38538_subq,x38538_acral
100038725,Cep85l,CEP85L,8637,4.904670845360131,7.892001172978951,1.9410464308615023,1969,1585,2414,2420,2044,4275,3509,964,3300,1942
100038726,NA,NA,3629,NA,NA,NA,57,0,8,0,5,0,19,27,2,0
100038728,NA,NA,668,NA,NA,NA,0,0,0,10,0,8,7,0,5,3
100038732,NA,NA,870,NA,NA,NA,0,0,0,0,0,0,0,0,2,0
100038734,NA,NA,3389,NA,NA,NA,1,1,1,9,4,0,1,1,6,0
100038735,NA,NA,2110,NA,NA,NA,0,0,20,12,1,20,20,15,17,19
100038739,NA,NA,2848,NA,NA,NA,38,23,0,19,19,49,58,25,31,16
100038743,NA,NA,1347,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
100038746,Gm1976,NA,1912,2.5771700602049776,3.579503082650692,1.0975161987502284,301,264,65,350,194,436,368,149,297,326
100038752,Gm10825,NA,4548,5.270031785389978,15.148383999176895,4.8323237953409155,3030,600,8,1695,932,1326,1580,257,1608,988
100038755,Gm9917,NA,5230,2.769855855772933,4.182446478054889,1.1007478125105907,696,634,273,835,690,724,1241,540,1059,1029
100038759,NA,NA,3798,NA,NA,NA,0,0,0,0,0,0,0,25,0,0
100038761,Unc45bos,NA,1309,1.73091690075049,9.064061648424724,3.0941094962647724,41,0,606,0,280,412,178,0,121,0
100038847,NA,NA,4901,NA,NA,NA,0,0,13,0,11,2,7,17,10,0
100038850,NA,NA,338,NA,NA,NA,0,0,0,0,2,0,0,0,2,0
100038854,Cstdc6,CSTA,387,8.481304241335188,56.81838369988268,19.90898822674695,0,0,0,0,0,0,0,1515,0,251
100038859,NA,NA,948,NA,NA,NA,0,0,0,0,4,0,0,0,1,0
100038860,NA,NA,948,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
100038862,NA,NA,2256,NA,NA,NA,0,0,0,0,0,0,2,0,2,0
100038882,Isg15,ISG15,756,5.566591835654044,13.349309473492639,4.236640167229293,109,552,64,108,125,128,283,94,377,241
100038909,Pira12,LILRA4,2208,2.0018266831895644,5.075781570542023,1.635712776959856,358,613,216,67,218,192,221,55,219,97
100038912,NA,NA,715,NA,NA,NA,0,0,0,0,0,4,0,1,2,5
100038927,NA,NA,422,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038941,NA,NA,3062,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038947,Sirpb1c,SIRPA,1679,2.9654493569510967,16.224715543371495,5.396257758706307,167,1490,33,56,147,156,111,40,132,117
100038948,NA,NA,1056,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038949,NA,NA,2049,NA,NA,NA,0,0,0,0,0,0,0,5,4,0
100038967,NA,NA,3175,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038969,Rps12-ps18,NA,410,1.0812592393895188,1.9384125998059574,0.5739224183559171,22,16,0,41,24,49,27,35,19,37
100038971,NA,NA,120,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038977,NA,NA,923,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038982,NA,NA,4341,NA,NA,NA,14,0,0,3,0,0,0,0,0,0
100038987,NA,NA,1672,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038992,NA,NA,234,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038995,NA,NA,1770,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100038997,NA,NA,658,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039008,NA,NA,1045,NA,NA,NA,0,0,0,3,1,5,0,0,0,0
100039010,NA,NA,1822,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039014,NA,NA,795,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039019,NA,NA,2594,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039026,NA,NA,1478,3.3394025943722383,4.044277696778292,0.7005836240102158,253,145,264,251,199,243,376,311,264,300
100039027,Gm2011,NA,588,2.9331585521062404,5.568385567044374,1.2494920406380838,144,80,123,68,54,176,93,99,57,73
100039028,NA,NA,999,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039029,NA,NA,454,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
100039030,NA,NA,892,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
