gene_name_ms,sample_id,rpkm,mouse_num,tumor_type,p_value,p_adj_bonferroni,p_adj_fdr
Itgb3,x14154x08,4.793703071679041,3143,subq,0.13508571063005417,1,0.19034804679689452
Itgb3bp,x14154x08,5.711238442220307,3143,subq,0.8038896000753253,1,0.8038896000753253
Itgb4,x14154x08,5.393307817199824,3143,subq,0.05902345016302516,1,0.10165149750298778
Itgb5,x14154x08,4.784748650482346,3143,subq,0.001644882770776332,0.05099136589406629,0.012747841473516573
Itgb6,x14154x08,4.76458111138653,3143,subq,0.01647587527307416,0.510752133465299,0.07296459049504272
Itgb7,x14154x08,8.922559356779885,3143,subq,0.04538936955899314,1,0.08794190352054922
Itgb8,x14154x08,3.546289714465333,3143,subq,0.01338457006109488,0.41492167189394125,0.06915361198232355
Itgbl1,x14154x08,6.7467425367762255,3143,subq,0.20446399213874655,1,0.267610364305129
Itga1,x14154x09,1.9127691842427164,3126,subq,3.184793639223611e-5,9.872860281593195e-4,6.880111997865641e-4
Itga10,x14154x09,0.082193063385279,3126,subq,0.044618592516688316,1,0.08794190352054922
Itga11,x14154x09,0.019289349745120647,3126,subq,0.027733076761040615,0.859725379592259,0.0741992688306477
Itga2,x14154x09,0.5610546726301306,3126,subq,0.023601045935873626,0.7316324240120824,0.0741992688306477
Itga2b,x14154x09,0.0904135654331957,3126,subq,0.03111582241285226,0.9645904947984201,0.0741992688306477
Itga3,x14154x09,2.581801086794012,3126,subq,0.5511058931163526,1,0.5924258440516275
Itga4,x14154x09,0.2194904364822416,3126,subq,0.0520000070222274,1,0.09482354221700291
Itga5,x14154x09,3.070437265636906,3126,subq,0.08875411633298577,1,0.13454782725793998
Itga6,x14154x09,1.5567508736495634,3126,subq,0.09114530233602386,1,0.13454782725793998
Itga7,x14154x09,0.45612795654348853,3126,subq,0.0647297692395202,1,0.10561172875921716
Itga8,x14154x09,0.3714417815746572,3126,subq,0.030203998749291423,0.9363239612280341,0.0741992688306477
Itga9,x14154x09,0.21181289210320392,3126,subq,0.5542048218547483,1,0.5924258440516275
Itgad,x14154x09,0.024703984767779127,3126,subq,0.020828407777871937,0.64568064111403,0.0741992688306477
Itgae,x14154x09,0.06359516707471627,3126,subq,0.36772396923891304,1,0.4222015943113446
Itgal,x14154x09,0.0764456148570464,3126,subq,0.20718221752655147,1,0.267610364305129
Itgam,x14154x09,0.6526532122753709,3126,subq,0.601828703603746,1,0.6218896603905375
Itgav,x14154x09,2.3084391526403527,3126,subq,4.438781934106865e-5,0.0013760223995731282,6.880111997865641e-4
Itgax,x14154x09,0.1158655571938455,3126,subq,0.22857448127802016,1,0.283432356784745
Itgb1,x14154x09,7.384730241120186,3126,subq,7.670691398475437e-5,0.0023779143335273855,7.926381111757952e-4
Itgb1bp1,x14154x09,0.28017258768125386,3126,subq,0.004546460104315552,0.14094026323378211,0.028188052646756424
Itgb1bp2,x14154x09,0.14423844378736525,3126,subq,0.025795247296450965,0.7996526661899799,0.0741992688306477
Itgb2,x14154x09,0.33088304547657355,3126,subq,0.3343362577558925,1,0.398631691939718
Itgb2l,x14154x09,0,3126,subq,0.03836315151805552,1,0.08494697836140866
Itgb3,x14154x09,0.9037513461119948,3126,subq,0.13508571063005417,1,0.19034804679689452
Itgb3bp,x14154x09,0.03968728280892639,3126,subq,0.8038896000753253,1,0.8038896000753253
Itgb4,x14154x09,1.7106025067426303,3126,subq,0.05902345016302516,1,0.10165149750298778
Itgb5,x14154x09,1.16627695081165,3126,subq,0.001644882770776332,0.05099136589406629,0.012747841473516573
Itgb6,x14154x09,0.08513737654627224,3126,subq,0.01647587527307416,0.510752133465299,0.07296459049504272
Itgb7,x14154x09,0.21776553916881122,3126,subq,0.04538936955899314,1,0.08794190352054922
Itgb8,x14154x09,0.1360298953420036,3126,subq,0.01338457006109488,0.41492167189394125,0.06915361198232355
Itgbl1,x14154x09,3.524496985937132,3126,subq,0.20446399213874655,1,0.267610364305129
Itga1,x14154x10,36.917817425895514,3971,subq,3.184793639223611e-5,9.872860281593195e-4,6.880111997865641e-4
Itga10,x14154x10,1.4303354202081668,3971,subq,0.044618592516688316,1,0.08794190352054922
